Id,Se_Ini,THETAs,THETAr,SIGMA,Hkg[mm],Ks[mm/s],Hvg[mm],N[-],Km,RingRadius[mm],FLAG_Good,Name,NSE_Ks_Vg,NSE_Hse_Ks_Vg,NSE_Kunsat_Ks_Vg,,,,No
1,0,0.43,0.045,0.775387185,92.32234458,0.0825,68.966,2.68,1,100,0,Sand,0.999675828,0.999885648,0.999466007,,,,1
2,0,0.49,0.06,0.962608489,156.9465223,0.03,100,2.25,1,100,0,LoamSoilTillage,0.999375864,0.999793535,0.998958193,,,,9
3,0,0.49,0.07,0.968082296,173.3656132,0.021,109.89,2.24,1,100,0,LoamSoilReduceTillage,0.999364575,0.99979002,0.99893913,,,,10
4,0,0.42,0.09,0.98489779,485.8352136,0.012,303.03,2.21,1,100,1,Loam1,0.999328759,0.999778671,0.998878846,,,,11
5,0,0.43,0.078,1.603598489,1001.729235,0.00288,278,1.56,1,100,1,Loam2,0.99621433,0.998508339,0.993920321,,,,2
6,0,0.41,0.27,1.653746361,770.5191115,0.00936,196.078,1.53,1,100,1,Silty \ Clay \ Loam,0.995730868,0.998278211,0.993183526,,,,4
7,0,0.35,0.05,1.78577753,296.3762933,0.0698,59.172,1.46,1,100,0,Sandy Loam Tillage,0.994203801,0.997503705,0.990903897,,,,7
8,0,0.38,0.05,1.785777829,260.8859344,0.0835,52.083,1.46,1,100,1,Sandy \ Loam,0.994203645,0.997503396,0.990903895,,,,8
9,0,0.46,0.034,1.996444099,4841.225167,0.000695,625,1.37,1,100,1,Silt,0.990756104,0.995455454,0.986056754,,,,3
10,0,0.49,0.19,2.437820913,2802.779917,0.00818,113.636,1.24,1,100,0,Silty Loam Grassland,0.977397154,0.986696903,0.968097405,,,,6
11,0,0.38,0.01,2.744735173,26151.11618,0.00452,384.615,1.18,1,100,1,Silt \ Loam,0.957260707,0.972987736,0.941533679,,,,5
