Id,Se_Ini[-],THETAs,THETAr,Ks[cm/h],N,Hvg[cm],Km,Kr_THETAini_Vg[-],Sorptivity_Hydro_Vg[mm s-0.5],SIGMA[-],Hkg[mm],Sorptivity_Hydro_Kg[mm s-0.5],Time_TransStead_Hydro_Vg[min],Time_TransStead_Hydro_Kg[min],Sorptivity_BestSorpt_Kg[mm s-0.5],SIGMA_Best[-],Hkg_Best[-],Ks_Best_Kg[cm/h],N_Best[-],Hvg_Best[cm],Ks_Best_Vg[cm/h],Time_TransStead_Best_Vg[min],Sorptivity_Qe_Kg[mm s-0.5],Sigma_Qe[-],Hkg_Qe[cm],Ks_Qe_Kg[cm/h],N_Qe[-],Hvg_Qe[cm],Ks_Qe_Vg[cm/h],NSE_Hydro_Inf_BestSorpt_Kg,NSE_Hydro_Inf_Qe_Kg,NSE_Hydro_Inf_BestSorpt_Vg,NSE_Hydro_Inf_Qe_Vg,NSE_BestSorpt_Kg,NSE_BestSorpt_Vg,NSE_Qe_Kg,NSE_Qe_Vg,NSE_Inf_BestSorpt_Kg,NSE_Inf_BestSorpt_Vg,NSE_Inf_Qe_Kg,NSE_Inf_Qe_Vg
2.0,0.0,0.352,0.0,1.0368000000000002,1.56,2777.78,1.0,0.0,0.351434542503565,1.603598489,1001.729235,0.36110459068409645,4.973502e-317,4.973502e-317,0.30119045593498067,3.7388635922754485,3.8009589620030047e6,1.6666884947881062,2.3225326690192376,732.0806264975289,1.6666889823267046,4.973502e-317,0.3634961359153312,2.4877759814327645,251494.05701423582,0.809394052262045,2.6819758750770943,1696.3446224015124,0.8093936602344676,0.999025659846152,0.9956487422684532,0.998678908045786,0.9998275708332766,-16.778865257092836,0.008077545427201627,-1.682547992730032,0.28950725743832856,0.9893650287760891,0.9893649883718877,NaN,NaN
3.0,0.0,0.42600000000000005,0.0,0.2502,1.37,6250.0,1.0,0.0,0.2320111868960808,1.996444099,4841.225167,0.23785042317969027,4.9735024e-317,4.9735024e-317,0.18132475260834888,2.9533333224314284,51651.32795828458,0.6045535550668469,2.607389482541216,564.7174758990079,0.6045533654313349,4.9735024e-317,0.23826413783812891,1.6493874155318289,39233.926506818825,0.10805724868000922,2.1998015233061095,5215.47646804158,0.10805736837998674,0.9889910167614152,0.9862558532352661,0.9980009528408843,0.9967113643283841,-0.21566130710191278,-0.9003314191011279,0.9644868593678304,0.2995580572300246,0.9786801846287075,0.9786801629297581,NaN,NaN
4.0,0.0,0.13999999999999996,0.0,3.3696,1.53,1960.78,1.0,0.0,0.32074426639516357,1.653746361,770.5191115,0.335931324053642,4.973503e-317,4.973503e-317,0.3098015196406944,3.371903492611908,789646.2924768084,2.7997585083724297,2.632395101457648,966.3333726785277,2.7997592893290904,4.973503e-317,0.2913095112788794,1.8041825108381409,9520.593858065153,3.173673434459244,2.6723388737758094,770.6025985293072,3.173723587501226,0.8896964265101738,0.8913045001177692,0.9411261804345761,0.9420243999223699,-10.658456403122845,0.17516685315155234,0.9754590368930756,0.047021436688786,0.999274111694768,0.9992741118740955,NaN,NaN
5.0,0.0,0.37,0.0,1.6272,1.18,3846.15,1.0,0.0,0.26005879830848344,2.744735173,26151.11618,0.3155119451910626,4.973534e-317,4.973534e-317,0.21181287091245277,3.4057617185145617,341966.88434966584,1.368052353640162,2.604401507826581,427.72847543219564,1.3680520032165921,4.973534e-317,0.23515855121371654,1.6038019269420931,3582.8152363947456,1.1701847890757988,1.6023821804255671,1094.517228066496,1.1701851100442051,0.05179326266891027,0.10074360802542193,0.7138138997095418,0.7256687354361471,0.27888030226765526,NaN,-0.6874335883890498,NaN,0.9918772688312589,0.991877283099336,NaN,NaN
6.0,0.0,0.3,0.0,2.9448,1.24,1136.36,1.0,0.0,0.19459401389759748,2.437820913,2802.779917,0.23576196468729707,4.973547e-317,4.973547e-317,0.2526621241152463,2.3238073834093353,2981.151806062182,2.0552381541979794,2.008283089230472,625.7644061661246,2.055240989244665,4.973547e-317,0.17259396243472558,3.7980667847505325,1.3204220221002609e7,2.6144327402145193,2.158118157482321,3559.0922694619576,0.5569377170715645,0.7739411439881105,0.7742108049273719,0.8929788621481192,0.8930344446749602,0.9971213875168672,-0.08026042884314716,-3.5815049596753434,0.20231090701931176,0.9950161363234826,0.995016181369019,NaN,NaN
7.0,0.0,0.3,0.0,25.128,1.46,591.72,1.0,0.0,0.5748066233808846,1.78577753,296.3762933,0.6882265855119258,4.973549e-317,4.973549e-317,0.6035461854830259,1.6462899615177824,168.8344312435288,22.683937118344108,2.263205010306666,339.7883541494773,22.683927297685756,4.973549e-317,0.6308358349414338,2.2491447329696266,13261.310103570324,21.867508491158134,1.8946973289956064,453.01474245824926,21.867508120174993,0.9585872446314331,0.9588017010655565,0.9908710294004383,0.9909370640172275,0.9413936592565622,0.2921306973015255,0.49143803018342197,0.6302281533853544,0.9971868421622367,0.997186878403692,NaN,NaN
8.0,0.0,0.33,0.0,30.060000000000002,1.46,520.8299999999999,1.0,0.0,0.6049007689480744,1.785777829,260.8859344,0.7406907057550863,4.9734995e-317,4.9734995e-317,1.2522032106159104,3.0890297393266772,287440.4453759777,12.745041289150619,1.514568025688539,3295.8832606430606,12.751823158915979,4.9734995e-317,1.487959081033539,2.2026323099333767,1.0786370962262715e6,1.1495228796291257,2.2234183818725324,23847.926842764482,1.1495294340299054,0.9493546094125318,0.949385554189373,0.9830973848884743,0.983101262411446,-8.35111247424892,0.7738398022674325,-5.268406186815435,0.24735605938523364,0.9687241224005851,0.9687377874322378,NaN,NaN
9.0,0.0,0.43,0.0,10.799999999999999,2.25,1000.0,1.0,0.0,0.9991642200098457,0.962608489,156.9465223,1.061273752431264,4.97351e-317,4.97351e-317,2.9402352713771633,1.0528779736835603,258.2342713676816,59.836774951631014,2.011935040201232,1704.333958956721,59.834708241025574,4.97351e-317,3.3512211657706645,1.9778245439735,85572.80499450318,26.196285736714266,2.7946987000769705,3395.9166913223526,26.214208771769727,-0.4176217793782204,-0.40601358064475845,-0.4680592020192891,-0.4554779648658245,0.7893482845404944,0.7176119646004631,-8.607322473047384,0.4302870628561423,0.9915903270222368,0.9915908340020948,NaN,NaN
10.0,0.0,0.42,0.0,7.5600000000000005,2.24,1098.9,1.0,0.0,0.8697051029491488,0.968082296,173.3656132,0.917641873537245,4.973542e-317,4.973542e-317,0.7878995155075929,0.8692369179165652,63.28420730522452,12.810417512884419,2.423293796231642,555.4837515951178,12.81037521620056,4.973542e-317,0.9263560342398686,1.4435839226019627,4451.014620065469,8.464146982094089,2.3656309468123795,1050.5499797458165,8.464157906958693,0.9933900922012296,0.9971625881130165,0.9719032198442359,0.9808631554799205,0.4282430439953883,0.7101099786599936,0.3021152627997654,0.9877337883335042,0.9889007563416338,0.9889009009855297,NaN,NaN
11.0,0.0,0.32999999999999996,0.0,4.32,2.21,3030.2999999999997,1.0,0.0,1.0030734421924585,0.98489779,485.8352136,1.0131844255532554,4.9735573e-317,4.9735573e-317,0.862530705965685,2.514201827392414,11794.574335227644,11.521518509774584,2.4566633441825396,845.221086581675,11.52133156878953,4.9735573e-317,1.010014326814687,1.4669081749938995,9896.596702235758,6.109286140573099,2.5095255995155963,1946.5701189999227,6.108948118895269,0.9949057491168856,0.9961623939981612,0.9916256351164969,0.993272387563798,-6.810769376152047,0.10699213057949764,0.5364453771837829,0.817456706518675,0.9907326251215917,0.9907330177084813,NaN,NaN
